date,industry,hires,separations
1/1/2010,Manufacturing,225,244
2/1/2010,Manufacturing,256,269
3/1/2010,Manufacturing,257,261
4/1/2010,Manufacturing,278,246
5/1/2010,Manufacturing,254,220
6/1/2010,Manufacturing,261,245
7/1/2010,Manufacturing,272,257
8/1/2010,Manufacturing,270,271
9/1/2010,Manufacturing,261,243
10/1/2010,Manufacturing,267,264
11/1/2010,Manufacturing,284,260
12/1/2010,Manufacturing,274,261
1/1/2011,Manufacturing,262,244
2/1/2011,Manufacturing,270,244
3/1/2011,Manufacturing,268,248
4/1/2011,Manufacturing,267,241
5/1/2011,Manufacturing,270,258
6/1/2011,Manufacturing,256,241
7/1/2011,Manufacturing,257,236
8/1/2011,Manufacturing,262,240
9/1/2011,Manufacturing,245,233
10/1/2011,Manufacturing,247,235
11/1/2011,Manufacturing,227,238
12/1/2011,Manufacturing,268,237
1/1/2012,Manufacturing,267,239
2/1/2012,Manufacturing,264,247
3/1/2012,Manufacturing,277,238
4/1/2012,Manufacturing,262,247
5/1/2012,Manufacturing,253,232
6/1/2012,Manufacturing,274,266
7/1/2012,Manufacturing,248,226
8/1/2012,Manufacturing,233,235
9/1/2012,Manufacturing,229,227
10/1/2012,Manufacturing,250,240
11/1/2012,Manufacturing,247,252
12/1/2012,Manufacturing,234,227
1/1/2013,Manufacturing,247,232
2/1/2013,Manufacturing,246,236
3/1/2013,Manufacturing,221,216
4/1/2013,Manufacturing,244,246
5/1/2013,Manufacturing,275,268
6/1/2013,Manufacturing,235,236
7/1/2013,Manufacturing,235,262
8/1/2013,Manufacturing,266,235
9/1/2013,Manufacturing,261,237
10/1/2013,Manufacturing,231,208
11/1/2013,Manufacturing,259,234
12/1/2013,Manufacturing,248,236
1/1/2014,Manufacturing,243,253
2/1/2014,Manufacturing,241,217
3/1/2014,Manufacturing,257,244
4/1/2014,Manufacturing,252,244
5/1/2014,Manufacturing,251,234
6/1/2014,Manufacturing,266,245
7/1/2014,Manufacturing,267,247
8/1/2014,Manufacturing,243,224
9/1/2014,Manufacturing,288,265
10/1/2014,Manufacturing,296,266
11/1/2014,Manufacturing,263,227
12/1/2014,Manufacturing,276,267
1/1/2015,Manufacturing,255,265
2/1/2015,Manufacturing,263,255
3/1/2015,Manufacturing,267,258
4/1/2015,Manufacturing,261,261
5/1/2015,Manufacturing,257,239
6/1/2015,Manufacturing,268,268
7/1/2015,Manufacturing,266,255
8/1/2015,Manufacturing,274,268
9/1/2015,Manufacturing,291,274
10/1/2015,Manufacturing,283,276
11/1/2015,Manufacturing,271,273
12/1/2015,Manufacturing,270,265
1/1/2016,Manufacturing,281,265
2/1/2016,Manufacturing,288,309
3/1/2016,Manufacturing,258,282
4/1/2016,Manufacturing,278,275
5/1/2016,Manufacturing,270,291
6/1/2016,Manufacturing,281,262
7/1/2016,Manufacturing,280,261
8/1/2016,Manufacturing,263,273
9/1/2016,Manufacturing,282,288
10/1/2016,Manufacturing,286,281
11/1/2016,Manufacturing,287,286
12/1/2016,Manufacturing,302,295
1/1/2017,Manufacturing,309,296
2/1/2017,Manufacturing,295,282
3/1/2017,Manufacturing,322,322
4/1/2017,Manufacturing,319,317
5/1/2017,Manufacturing,337,322
6/1/2017,Manufacturing,336,327
7/1/2017,Manufacturing,330,322
8/1/2017,Manufacturing,369,302
9/1/2017,Manufacturing,329,323
10/1/2017,Manufacturing,347,325
11/1/2017,Manufacturing,343,334
12/1/2017,Manufacturing,356,341
1/1/2018,Manufacturing,366,342
2/1/2018,Manufacturing,372,348
3/1/2018,Manufacturing,358,348
4/1/2018,Manufacturing,360,345
5/1/2018,Manufacturing,370,335
6/1/2018,Manufacturing,370,339
7/1/2018,Manufacturing,383,352
8/1/2018,Manufacturing,369,336
9/1/2018,Manufacturing,331,317
10/1/2018,Manufacturing,398,360
11/1/2018,Manufacturing,367,367
12/1/2018,Manufacturing,346,334
1/1/2019,Manufacturing,353,331
2/1/2019,Manufacturing,335,336
3/1/2019,Manufacturing,343,361
4/1/2019,Manufacturing,349,365
5/1/2019,Manufacturing,339,336
6/1/2019,Manufacturing,324,329
7/1/2019,Manufacturing,330,328
8/1/2019,Manufacturing,334,326
9/1/2019,Manufacturing,345,349
10/1/2019,Manufacturing,310,334
11/1/2019,Manufacturing,360,321
12/1/2019,Manufacturing,339,341
1/1/2020,Manufacturing,318,344
2/1/2020,Manufacturing,353,347
3/1/2020,Manufacturing,309,879
4/1/2020,Manufacturing,359,835
5/1/2020,Manufacturing,628,319
6/1/2020,Manufacturing,478,414
